Date,Total_permits_Lakeland,ln_Total_permits_Lakeland
2022-03-01,1506.13042441917,7.317299007809979
2022-04-01,1041.8625549475,6.94876530857229
2022-05-01,1011.69588088395,6.919383291723819
2022-06-01,1124.80686629304,7.025366625494597
2022-07-01,753.427482179904,6.624632772134334
2022-08-01,1056.2866462610302,6.962514872754536
2022-09-01,807.6740072665832,6.694158520757444
2022-10-01,617.8444948715951,6.426236799373084
2022-11-01,751.731041716781,6.6223786026837015
2022-12-01,858.5208582141,6.755210976156653
2023-01-01,647.961713119955,6.473831609915278
2023-02-01,1315.31577573501,7.181832049423188
2023-03-01,819.85005371132,6.7091214622094695
2023-04-01,1166.64456741222,7.061887016411892
2023-05-01,934.272447233082,6.8397680950858675
2023-06-01,1083.70482453982,6.9881408428336105
2023-07-01,1339.04092529368,7.19970890929705
2023-08-01,1145.21236873182,7.043345373664954
2023-09-01,934.6073257398259,6.840126468604775
2023-10-01,1111.23625552115,7.01322841826672
2023-11-01,868.828255899305,6.767145471555169
2023-12-01,1030.2436698564802,6.937550625920973
2024-01-01,1474.50427121746,7.296077124973726
2024-02-01,897.415654449881,6.799519137617371
2024-03-01,878.136216335903,6.777801725492098
2024-04-01,741.1767920530569,6.6082391826056375
2024-05-01,1083.69045023628,6.988127578706196
2024-06-01,640.3713467496129,6.462048237382056
2024-07-01,704.5856129690932,6.557609846977544
2024-08-01,746.405718754281,6.6152693112860455
2024-09-01,679.126199735095,6.520806971459628
2024-10-01,617.7949605159649,6.426156623306448
2024-11-01,1243.82339730936,7.125945299643657
2024-12-01,957.890862207412,6.86473384894196
